"variable","CODE_SEC","RES_SEC","W_IND"
"h7","009","008",34.15165
"h7","009","010",66.9685
"h7","009","014",53.73612
"h7","009","015",51.02428
"h7","009","026",155.86127
"h7","009","029",43.50838
"h7","009","033",89.92434
"h7","009","038",40.28394
"h7","009","040",73.77431
"h7","009","041",30.90329
"h7","009","042",23.47894
"h7","009","052",57.96194
"h7","009","053",85.80387
"h7","017","005",74.09273
"h7","017","006",154.6715
"h7","017","013",52.47557
"h7","017","014",69.08804
"h7","017","015",31.10296
"h7","017","019",22.40934
"h7","017","037",80.04775
"h7","017","038",40.28394
"h7","017","041",23.15952
"h7","017","042",30.94051
"h7","017","060",42.29204
"h7","022","001",60.28323
"h7","022","002",47.87942
"h7","022","003",60.97095
"h7","022","004",33.30401
"h7","022","005",25.91186
"h7","022","006",154.6715
"h7","022","007",106.11109
"h7","022","013",66.87162
"h7","022","017",86.42826
"h7","022","026",72.37045
"h7","022","029",40.17017
"h7","022","038",32.59887
"h7","022","039",72.94169
"h7","022","040",102.0192
"h7","022","046",45.01088
"h7","022","047",122.82377
"h7","022","049",62.04343
"h7","022","052",76.88136
"h7","022","057",21.80219
"h7","022","059",143.7556
"h7","022","062",141.6719
"h7","022","078",99.32173
"h7","025","001",60.28323
"h7","025","005",27.10908
"h7","025","014",60.39205
"h7","025","015",51.02428
"h7","025","017",33.49252
"h7","025","022",95.58936
"h7","025","023",35.26661
"h7","025","024",78.0051
"h7","025","026",130.4708
"h7","025","027",42.78683
"h7","025","029",26.16802
"h7","025","036",34.47135
"h7","025","039",34.34919
"h7","025","052",35.18823
"h7","025","057",45.40145
"h7","025","063",62.59158
"h7","025","064",45.66374
"h7","027","007",52.69198
"h7","027","019",69.48092
"h7","027","021",33.22805
"h7","027","030",30.3429
"h7","027","031",52.42074
"h7","027","032",45.33591
"h7","027","041",37.75475
"h7","027","042",23.47894
"h7","027","049",37.88057
"h7","027","051",24.41093
"h7","027","053",85.72103
"h7","027","054",51.58823
"h7","027","056",85.89352
"h7","027","060",53.49477
"h7","028","007",52.69198
"h7","028","010",38.29004
"h7","028","011",47.58998
"h7","028","016",30.03563
"h7","028","018",76.57162
"h7","028","031",30.81776
"h7","028","032",65.33975
"h7","028","033",64.5879
"h7","028","038",37.6699
"h7","028","043",97.85352
"h7","028","051",36.6862
"h7","028","057",27.44571
"h8","001","003",186.94315
"h8","001","004",29.32423
"h8","001","005",43.88736
"h8","001","007",94.25548
"h8","001","010",50.39394
"h8","001","017",47.71466
"h8","001","021",24.43651
"h8","001","023",35.26661
"h8","001","025",53.90245
"h8","001","027",76.88173
"h8","001","032",95.93293
"h8","001","039",83.27363
"h8","001","040",236.09612
"h8","001","045",42.16247
"h8","001","046",57.7367
"h8","001","051",41.74634
"h8","001","052",35.18823
"h8","001","053",58.86354
"h8","001","054",46.73358
"h8","003","001",30.21404
"h8","003","004",77.27189
"h8","003","005",52.2224
"h8","003","007",66.36265
"h8","003","008",36.94248
"h8","003","009",123.32109
"h8","003","010",79.86547
"h8","003","011",54.06002
"h8","003","012",77.66259
"h8","003","013",70.71862
"h8","003","014",100.6669
"h8","003","016",21.14288
"h8","003","021",30.07412
"h8","003","024",90.71771
"h8","003","025",64.09819
"h8","003","026",232.09118
"h8","003","028",51.44195
"h8","003","033",63.25325
"h8","003","034",23.19365
"h8","003","036",72.4874
"h8","003","042",20.61635
"h8","003","043",59.09632
"h8","003","054",46.73358
"h8","003","072",26.92785
"h8","006","004",118.17716
"h8","006","005",52.58473
"h8","006","008",49.94484
"h8","006","010",41.5159
"h8","006","015",26.12605
"h8","006","017",66.61766
"h8","006","020",56.89591
"h8","006","021",37.44435
"h8","006","026",103.00017
"h8","006","028",72.92888
"h8","006","036",34.61035
"h8","006","050",31.83192
"h8","006","055",35.42684
"h8","006","059",98.87531
"h8","006","060",53.49477
"h8","006","062",62.50695
"h8","006","063",21.08988
"h8","006","067",110.0333
"h8","009","003",52.58155
"h8","009","006",63.02648
"h8","009","007",48.81251
"h8","009","008",19.05557
"h8","009","010",66.9685
"h8","009","013",52.47557
"h8","009","014",154.40302
"h8","009","015",51.02428
"h8","009","022",53.40467
"h8","009","025",55.51393
"h8","009","026",106.65394
"h8","009","027",42.78683
"h8","009","028",53.56276
"h8","009","029",43.50838
"h8","009","030",56.99823
"h8","009","032",65.33975
"h8","009","035",106.48731
"h8","009","036",81.43241
"h8","009","037",57.65409
"h8","009","038",40.28394
"h8","009","040",73.77431
"h8","009","041",76.18245
"h8","009","042",28.60831
"h8","009","046",57.7367
"h8","009","049",35.86662
"h8","009","051",52.18887
"h8","009","052",57.96194
"h8","009","053",171.5249
"h8","009","054",68.35165
"h8","009","055",70.85368
"h8","009","057",43.10973
"h8","009","063",72.11392
"h8","009","065",59.7954
"h8","009","070",125.5897
"h8","011","004",41.05452
"h8","011","006",63.02648
"h8","011","013",43.50565
"h8","011","014",114.5456
"h8","011","016",91.87825
"h8","011","018",182.80072
"h8","011","024",77.17936
"h8","011","028",51.44195
"h8","011","033",64.5879
"h8","011","039",37.50611
"h8","011","040",90.9809
"h8","011","048",32.77678
"h8","011","055",44.44442
"h8","013","003",102.6241
"h8","013","009",48.61359
"h8","013","014",140.34457
"h8","013","017",84.47975
"h8","013","026",53.32697
"h8","013","029",40.17017
"h8","013","030",50.09708
"h8","013","032",79.92825
"h8","013","033",46.58641
"h8","013","035",63.07598
"h8","013","039",42.1055
"h8","013","043",28.12854
"h8","013","046",70.84383
"h8","013","070",105.9994
"h8","014","001",60.28323
"h8","014","004",38.408
"h8","014","011",37.66741
"h8","014","012",152.03689
"h8","014","016",38.10069
"h8","014","017",60.11206
"h8","014","029",29.64449
"h8","014","031",35.79166
"h8","014","033",68.82892
"h8","014","047",69.18813
"h8","014","062",88.86561
"h8","017","003",78.92997
"h8","017","005",108.71175
"h8","017","006",201.17522
"h8","017","008",20.96324
"h8","017","013",52.47557
"h8","017","014",69.08804
"h8","017","015",41.4239
"h8","017","016",27.15165
"h8","017","019",22.40934
"h8","017","021",38.4195
"h8","017","022",47.72847
"h8","017","024",40.96904
"h8","017","033",63.25325
"h8","017","037",80.04775
"h8","017","038",40.28394
"h8","017","041",23.15952
"h8","017","042",30.94051
